time,ghi,zen,ghi_nsrdb,ghics_nsrdb,ghics_mc
2020/1/1 15:50,347.92,69.61,359,359,363.2448
2020/1/1 15:55,357.34,69.12,369,369,373.0872
2020/1/1 16:00,365.98,68.66,378,378,382.5876
2020/1/1 16:05,374.5,68.2,387,387,391.7388
2020/1/1 16:10,383.04,67.77,395,395,400.5348
2020/1/1 16:15,391.38,67.35,404,404,408.9672
2020/1/1 16:20,399.9,66.95,412,412,417.0324
2020/1/1 16:25,407.42,66.57,419,419,424.7196
2020/1/1 16:30,414.26,66.2,426,426,432.0312
2020/1/1 16:35,421.36,65.85,433,433,438.9576
2020/1/1 16:40,427.7,65.53,440,440,445.4952
2020/1/1 16:45,434.12,65.22,441,441,451.6368
2020/1/1 16:50,439.5,64.93,447,447,457.3824
2020/1/1 16:55,444.12,64.66,452,452,462.726
2020/1/1 17:00,449.14,64.41,457,457,467.6652
2020/1/1 17:05,453.06,64.18,462,462,472.1952
2020/1/1 17:10,456.54,63.97,466,466,476.316
2020/1/1 17:15,459.28,63.78,469,469,480.0216
2020/1/1 17:20,462.38,63.61,473,473,483.3132
2020/1/1 17:25,464.48,63.47,475,475,486.1872
2020/1/1 17:30,467.08,63.34,478,478,488.6424
2020/1/1 17:35,469.16,63.24,480,480,490.6752
2020/1/1 17:40,470.86,63.15,482,482,492.2892
2020/1/1 17:45,471.82,63.09,483,483,493.4772
2020/1/1 17:50,472.86,63.05,484,484,494.244
2020/1/1 17:55,473.46,63.03,484,484,494.5872
2020/1/1 18:00,473.54,63.03,484,484,494.4924
2020/1/1 18:05,472.54,63.06,484,484,493.9212
2020/1/1 18:10,471.54,63.1,483,483,492.924
2020/1/1 18:15,469.98,63.17,481,481,491.5104
2020/1/1 18:20,468.82,63.26,480,480,489.7032
2020/1/1 18:25,466.78,63.37,478,478,487.4772
2020/1/1 18:30,464.72,63.5,475,475,484.8312
2020/1/1 18:35,461.68,63.65,472,472,481.7688
2020/1/1 18:40,458.44,63.82,469,469,478.2972
2020/1/1 18:45,454.28,64.01,465,465,474.4092
2020/1/1 18:50,449.6,64.23,461,461,470.1108
2020/1/1 18:55,444.58,64.46,456,456,465.4104
2020/1/1 19:00,438.82,64.71,452,452,460.3044
2020/1/1 19:05,433.46,64.99,446,446,454.7976
2020/1/1 19:10,428.1,65.28,441,441,448.8972
2020/1/1 19:15,421.74,65.59,435,435,442.6032
2020/1/1 19:20,415.06,65.93,428,428,435.924
2020/1/1 19:25,408.18,66.28,421,421,428.8632
2020/1/1 19:30,400.74,66.64,414,414,421.4232
2020/1/1 19:35,392.86,67.03,406,406,413.6112
2020/1/1 19:40,384.66,67.44,398,398,405.4308
2020/1/1 19:45,375.96,67.86,390,390,396.8916
2020/1/1 19:50,366.94,68.3,381,381,388.0008
2020/1/1 19:55,357.88,68.75,373,373,378.7608
2020/1/1 20:00,348.36,69.22,363,363,369.18
2020/1/1 20:05,338.56,69.71,354,354,359.2716
2020/1/1 20:10,328.34,70.22,344,344,349.0356
2020/1/1 20:15,318.1,70.73,334,334,338.4864
2020/1/1 20:20,307.58,71.27,323,323,327.63
2020/1/1 20:25,296.78,71.82,312,312,316.4784
2020/1/1 20:30,285.36,72.38,301,301,305.0412
2020/1/1 20:35,273.68,72.96,290,290,293.3292
2020/1/1 20:40,262.08,73.55,278,278,281.352
2020/1/1 20:45,250.2,74.15,264,264,269.1252
2020/1/1 20:50,237.88,74.77,252,252,256.6596
2020/1/1 20:55,225.82,75.4,240,240,243.9684
2020/1/1 21:00,213.8,76.04,228,228,231.0552
2020/1/1 21:05,200.82,76.69,215,215,217.9128
2020/1/1 21:10,188.36,77.35,203,203,204.5916
2020/1/1 21:15,175.76,78.03,190,190,191.118
2020/1/1 21:20,162.94,78.71,177,177,177.5076
2020/1/1 21:25,149.94,79.41,164,164,163.7892
2020/1/1 21:30,137.3,80.11,151,151,149.9904
2020/1/1 21:35,124.18,80.83,138,138,136.14
2020/1/1 21:40,111.66,81.55,125,125,122.2764
2020/1/1 21:45,99.36,82.28,112,112,108.4488
2020/1/1 21:50,86.96,83.02,99,99,94.716
2020/1/1 21:55,75.06,83.76,87,87,81.1464
2020/1/1 22:00,63.52,84.52,74,74,67.8372
2020/1/2 13:55,74.6,84.37,52,71,68.7228
2020/1/2 14:00,78.6,83.62,58,83,81.5448
2020/1/2 14:05,72.62,82.87,62,95,94.5936
2020/1/2 14:10,84.98,82.13,80,107,107.7876
